var_name,sensor_X,sensor_Y,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Wavelength_nm,Slope,Slope_log,Bias,Error,MRD,MARD,RMSE,MSA,MAPE
RHOW,HYPERNETS,PACE_V2,27,27,27,27,380,0.69,0.68,-0.63,10.16,-0.006255,0.092269,0.005279,0.003938,13.85
RHOW,PACE_V2,HYPERNETS,27,27,27,27,380,0.63,0.56,0.63,10.16,0.006295,0.101648,0.005279,0.003938,14.61
RHOW,HYPERNETS,PACE_V2,27,27,27,27,381,0.68,0.67,-0.76,10.69,-0.007538,0.096598,0.005323,0.004056,14.11
RHOW,PACE_V2,HYPERNETS,27,27,27,27,381,0.63,0.56,0.76,10.69,0.007595,0.104306,0.005323,0.004056,14.79
RHOW,HYPERNETS,PACE_V2,27,27,27,27,382,0.66,0.66,-2.3,11,-0.02246,0.104574,0.005497,0.004129,13.65
RHOW,PACE_V2,HYPERNETS,27,27,27,27,382,0.62,0.55,2.3,11,0.022976,0.110038,0.005497,0.004129,15.03
RHOW,HYPERNETS,PACE_V2,27,27,27,27,383,0.67,0.67,-1.16,10.34,-0.011449,0.10191,0.005417,0.004014,13.23
RHOW,PACE_V2,HYPERNETS,27,27,27,27,383,0.64,0.57,1.16,10.34,0.011582,0.103376,0.005417,0.004014,14.4
RHOW,HYPERNETS,PACE_V2,27,27,27,27,384,0.68,0.66,-0.08,10.43,-7.86e-4,0.094435,0.005365,0.00396,13.06
RHOW,PACE_V2,HYPERNETS,27,27,27,27,384,0.64,0.58,0.08,10.43,7.86e-4,0.101452,0.005365,0.00396,13.97
RHOW,HYPERNETS,PACE_V2,27,27,27,27,385,0.67,0.66,0.16,8.95,0.001555,0.082151,0.005356,0.003969,13.07
RHOW,PACE_V2,HYPERNETS,27,27,27,27,385,0.65,0.59,-0.16,8.95,-0.001553,0.089504,0.005356,0.003969,13.74
RHOW,HYPERNETS,PACE_V2,27,27,27,27,386,0.67,0.67,-0.32,9.37,-0.003202,0.091786,0.005246,0.003936,12.74
RHOW,PACE_V2,HYPERNETS,27,27,27,27,386,0.68,0.62,0.32,9.37,0.003212,0.085695,0.005246,0.003936,13.44
RHOW,HYPERNETS,PACE_V2,27,27,27,27,387,0.68,0.67,0.04,9.24,3.86e-4,0.084563,0.005153,0.003864,12.54
RHOW,PACE_V2,HYPERNETS,27,27,27,27,387,0.69,0.64,-0.04,9.24,-3.85e-4,0.090231,0.005153,0.003864,13
