var_name,file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dateTime_X,dateTime_Y,diff_time,n,Slope,RMSE,MAPE,Bias,Error
LD,HYPERNETS_vs_TRIOS_vs_20240808T065700_LD.csv,Hyp,TRIOS,23.229217,36.074616999999996,23.235899,36.072849,0.63,2024-08-08T04:57:00Z,2024-08-08T04:54:45Z,2,321,0.69,29.9919,43.8,-89.6,89.6
LD,HYPERNETS_vs_TRIOS_vs_20240808T065700_LD.csv,TRIOS,Hyp,23.235899,36.072849,23.229217,36.074616999999996,0.63,2024-08-08T04:54:45Z,2024-08-08T04:57:00Z,2,321,1.35,29.9919,80.9,89.6,89.6
LD,HYPERNETS_vs_TRIOS_vs_20240808T070000_LD.csv,Hyp,TRIOS,23.223867000000002,36.075917000000004,23.235899,36.072849,1.14,2024-08-08T05:00:00Z,2024-08-08T04:54:45Z,5,321,0.7,27.7193,41.9,-82.9,82.9
LD,HYPERNETS_vs_TRIOS_vs_20240808T070000_LD.csv,TRIOS,Hyp,23.235899,36.072849,23.223867000000002,36.075917000000004,1.14,2024-08-08T04:54:45Z,2024-08-08T05:00:00Z,5,321,1.33,27.7193,74.7,82.9,82.9
LD,HYPERNETS_vs_TRIOS_vs_20240809T073700_LD.csv,Hyp,TRIOS,22.401483,36.0163,22.400873,36.015972000000005,0.07,2024-08-09T05:37:00Z,2024-08-09T05:39:34Z,3,321,0.82,9.1594,19.4,-25.2,25.2
LD,HYPERNETS_vs_TRIOS_vs_20240809T073700_LD.csv,TRIOS,Hyp,22.400873,36.015972000000005,22.401483,36.0163,0.07,2024-08-09T05:39:34Z,2024-08-09T05:37:00Z,3,321,1.19,9.1594,24.3,25.2,25.2
LD,HYPERNETS_vs_TRIOS_vs_20240809T074500_LD.csv,Hyp,TRIOS,22.400667,36.01495,22.400873,36.015972000000005,0.12,2024-08-09T05:45:00Z,2024-08-09T05:39:34Z,5,321,0.82,9.579,20.1,-26.4,26.4
LD,HYPERNETS_vs_TRIOS_vs_20240809T074500_LD.csv,TRIOS,Hyp,22.400873,36.015972000000005,22.400667,36.01495,0.12,2024-08-09T05:39:34Z,2024-08-09T05:45:00Z,5,321,1.2,9.579,25.5,26.4,26.4
LD,HYPERNETS_vs_TRIOS_vs_20240809T093000_LD.csv,Hyp,TRIOS,22.385299999999997,36.0155,22.405568999999996,36.002848,2.31,2024-08-09T07:30:00Z,2024-08-09T07:32:22Z,2,321,1.05,5.2828,14.6,13.7,13.7
LD,HYPERNETS_vs_TRIOS_vs_20240809T093000_LD.csv,TRIOS,Hyp,22.405568999999996,36.002848,22.385299999999997,36.0155,2.31,2024-08-09T07:32:22Z,2024-08-09T07:30:00Z,2,321,0.94,5.2828,12.5,-13.7,13.7
LD,HYPERNETS_vs_TRIOS_vs_20240809T094700_LD.csv,Hyp,TRIOS,22.3765,36.0195,22.406063,36.005686999999995,3.07,2024-08-09T07:47:00Z,2024-08-09T07:45:23Z,2,321,1.07,6.1642,18,17.3,17.3
LD,HYPERNETS_vs_TRIOS_vs_20240809T094700_LD.csv,TRIOS,Hyp,22.406063,36.005686999999995,22.3765,36.0195,3.07,2024-08-09T07:45:23Z,2024-08-09T07:47:00Z,2,321,0.93,6.1642,15,-17.3,17.3
LD,HYPERNETS_vs_TRIOS_vs_20240810T063000_LD.csv,Hyp,TRIOS,19.631367000000004,35.976766999999995,19.626307,35.976941,0.46,2024-08-10T04:30:00Z,2024-08-10T04:33:41Z,4,321,0.8,11.8433,31.1,-51.2,51.2
LD,HYPERNETS_vs_TRIOS_vs_20240810T063000_LD.csv,TRIOS,Hyp,19.626307,35.976941,19.631367000000004,35.976766999999995,0.46,2024-08-10T04:33:41Z,2024-08-10T04:30:00Z,4,321,1.22,11.8433,46.5,51.2,51.2
LD,HYPERNETS_vs_TRIOS_vs_20240810T064000_LD.csv,Hyp,TRIOS,19.614683000000003,35.97756699999999,19.613761000000004,35.977615,0.08,2024-08-10T04:40:00Z,2024-08-10T04:39:12Z,1,321,0.9,4.5624,13.8,-17.2,17.2
LD,HYPERNETS_vs_TRIOS_vs_20240810T064000_LD.csv,TRIOS,Hyp,19.613761000000004,35.977615,19.614683000000003,35.97756699999999,0.08,2024-08-10T04:39:12Z,2024-08-10T04:40:00Z,1,321,1.1,4.5624,16.1,17.2,17.2
LD,HYPERNETS_vs_TRIOS_vs_20240810T073600_LD.csv,Hyp,TRIOS,19.497817,35.983117,19.506292,35.982668999999994,0.77,2024-08-10T05:36:00Z,2024-08-10T05:33:54Z,2,321,0.9,5.5875,14.8,-19.2,19.2
LD,HYPERNETS_vs_TRIOS_vs_20240810T073600_LD.csv,TRIOS,Hyp,19.506292,35.982668999999994,19.497817,35.983117,0.77,2024-08-10T05:33:54Z,2024-08-10T05:36:00Z,2,321,1.1,5.5875,17.6,19.2,19.2
LD,HYPERNETS_vs_TRIOS_vs_20240810T113000_LD.csv,Hyp,TRIOS,19.374117000000002,35.909317,19.361476,35.909326,1.14,2024-08-10T09:30:00Z,2024-08-10T09:37:03Z,7,321,0.91,6.9436,10.5,-12.3,12.3
LD,HYPERNETS_vs_TRIOS_vs_20240810T113000_LD.csv,TRIOS,Hyp,19.361476,35.909326,19.374117000000002,35.909317,1.14,2024-08-10T09:37:03Z,2024-08-10T09:30:00Z,7,321,1.08,6.9436,11.8,12.3,12.3
LD,HYPERNETS_vs_TRIOS_vs_20240810T114500_LD.csv,Hyp,TRIOS,19.3462,35.9094,19.339481000000003,35.909440999999994,0.61,2024-08-10T09:45:00Z,2024-08-10T09:47:09Z,2,321,0.89,9.2771,15,-19.3,19.3
LD,HYPERNETS_vs_TRIOS_vs_20240810T114500_LD.csv,TRIOS,Hyp,19.339481000000003,35.909440999999994,19.3462,35.9094,0.61,2024-08-10T09:47:09Z,2024-08-10T09:45:00Z,2,321,1.11,9.2771,17.8,19.3,19.3
LD,HYPERNETS_vs_TRIOS_vs_20240810T120000_LD.csv,Hyp,TRIOS,19.312732999999998,35.90995,19.306159,35.910015,0.59,2024-08-10T10:00:00Z,2024-08-10T10:02:35Z,3,321,0.83,14.1722,21.4,-30.1,30.1
LD,HYPERNETS_vs_TRIOS_vs_20240810T120000_LD.csv,TRIOS,Hyp,19.306159,35.910015,19.312732999999998,35.90995,0.59,2024-08-10T10:02:35Z,2024-08-10T10:00:00Z,3,321,1.18,14.1722,27.7,30.1,30.1
LD,HYPERNETS_vs_TRIOS_vs_20240810T123000_LD.csv,Hyp,TRIOS,19.24585,35.91068299999999,19.246183,35.91064599999999,0.03,2024-08-10T10:30:00Z,2024-08-10T10:29:36Z,0,321,0.83,9.9685,16.9,-21.4,21.4
LD,HYPERNETS_vs_TRIOS_vs_20240810T123000_LD.csv,TRIOS,Hyp,19.246183,35.91064599999999,19.24585,35.91068299999999,0.03,2024-08-10T10:29:36Z,2024-08-10T10:30:00Z,0,321,1.18,9.9685,20.6,21.4,21.4
LD,HYPERNETS_vs_TRIOS_vs_20240810T124500_LD.csv,Hyp,TRIOS,19.212332999999997,35.911117,19.210498,35.91108699999999,0.17,2024-08-10T10:45:00Z,2024-08-10T10:46:02Z,1,321,0.77,18.2119,31.5,-51.8,51.8
LD,HYPERNETS_vs_TRIOS_vs_20240810T124500_LD.csv,TRIOS,Hyp,19.210498,35.91108699999999,19.212332999999997,35.911117,0.17,2024-08-10T10:46:02Z,2024-08-10T10:45:00Z,1,321,1.27,18.2119,47,51.8,51.8
LD,HYPERNETS_vs_TRIOS_vs_20240810T131500_LD.csv,Hyp,TRIOS,19.134100000000004,35.9121,19.140775,35.91197699999999,0.6,2024-08-10T11:15:00Z,2024-08-10T11:13:07Z,2,321,0.79,14.4982,28.4,-44.3,44.3
LD,HYPERNETS_vs_TRIOS_vs_20240810T131500_LD.csv,TRIOS,Hyp,19.140775,35.91197699999999,19.134100000000004,35.9121,0.6,2024-08-10T11:13:07Z,2024-08-10T11:15:00Z,2,321,1.24,14.4982,40.5,44.3,44.3
LD,HYPERNETS_vs_TRIOS_vs_20240810T133000_LD.csv,Hyp,TRIOS,19.10065,35.912517,19.103294000000002,35.912473999999996,0.24,2024-08-10T11:30:00Z,2024-08-10T11:29:16Z,1,321,0.81,12.9906,27.1,-41.8,41.8
LD,HYPERNETS_vs_TRIOS_vs_20240810T133000_LD.csv,TRIOS,Hyp,19.103294000000002,35.912473999999996,19.10065,35.912517,0.24,2024-08-10T11:29:16Z,2024-08-10T11:30:00Z,1,321,1.21,12.9906,38,41.8,41.8
LD,HYPERNETS_vs_TRIOS_vs_20240810T134500_LD.csv,Hyp,TRIOS,19.061617,35.913616999999995,19.065478,35.913428999999994,0.35,2024-08-10T11:45:00Z,2024-08-10T11:44:26Z,1,321,0.79,6.9669,10.1,-13.2,13.2
LD,HYPERNETS_vs_TRIOS_vs_20240810T134500_LD.csv,TRIOS,Hyp,19.065478,35.913428999999994,19.061617,35.913616999999995,0.35,2024-08-10T11:44:26Z,2024-08-10T11:45:00Z,1,321,1.25,6.9669,11.5,13.2,13.2
LD,HYPERNETS_vs_TRIOS_vs_20240810T143000_LD.csv,Hyp,TRIOS,18.95565,35.91546699999999,18.960660999999998,35.915299,0.45,2024-08-10T12:30:00Z,2024-08-10T12:28:20Z,2,321,0.83,9.5249,26.2,-40,40
LD,HYPERNETS_vs_TRIOS_vs_20240810T143000_LD.csv,TRIOS,Hyp,18.960660999999998,35.915299,18.95565,35.91546699999999,0.45,2024-08-10T12:28:20Z,2024-08-10T12:30:00Z,2,321,1.17,9.5249,36.3,40,40
LD,HYPERNETS_vs_TRIOS_vs_20240810T144500_LD.csv,Hyp,TRIOS,18.922216999999996,35.9153,18.923484,35.915265,0.11,2024-08-10T12:45:00Z,2024-08-10T12:44:14Z,1,321,0.83,10.6856,29.2,-46.7,46.7
LD,HYPERNETS_vs_TRIOS_vs_20240810T144500_LD.csv,TRIOS,Hyp,18.923484,35.915265,18.922216999999996,35.9153,0.11,2024-08-10T12:44:14Z,2024-08-10T12:45:00Z,1,321,1.17,10.6856,42.5,46.7,46.7
LD,HYPERNETS_vs_TRIOS_vs_20240810T150000_LD.csv,Hyp,TRIOS,18.883232999999997,35.91506699999999,18.880058000000002,35.914998999999995,0.29,2024-08-10T13:00:00Z,2024-08-10T13:02:18Z,2,321,0.85,8.5767,25.7,-38.9,38.9
LD,HYPERNETS_vs_TRIOS_vs_20240810T150000_LD.csv,TRIOS,Hyp,18.880058000000002,35.914998999999995,18.883232999999997,35.91506699999999,0.29,2024-08-10T13:02:18Z,2024-08-10T13:00:00Z,2,321,1.15,8.5767,35.6,38.9,38.9
LD,HYPERNETS_vs_TRIOS_vs_20240810T151500_LD.csv,Hyp,TRIOS,18.849783,35.915282999999995,18.880058000000002,35.914998999999995,2.73,2024-08-10T13:15:00Z,2024-08-10T13:02:18Z,13,321,0.91,5.9972,19.7,-28,28
LD,HYPERNETS_vs_TRIOS_vs_20240810T151500_LD.csv,TRIOS,Hyp,18.880058000000002,35.914998999999995,18.849783,35.915282999999995,2.73,2024-08-10T13:02:18Z,2024-08-10T13:15:00Z,13,321,1.08,5.9972,25.1,28,28
LD,HYPERNETS_vs_TRIOS_vs_20240811T143100_LD.csv,Hyp,TRIOS,16.175583,36.078817,16.176034,36.078449,0.06,2024-08-11T12:31:00Z,2024-08-11T12:29:04Z,2,321,0.87,7.7876,16.3,-21.2,21.2
LD,HYPERNETS_vs_TRIOS_vs_20240811T143100_LD.csv,TRIOS,Hyp,16.176034,36.078449,16.175583,36.078817,0.06,2024-08-11T12:29:04Z,2024-08-11T12:31:00Z,2,321,1.12,7.7876,19.7,21.2,21.2
LD,HYPERNETS_vs_TRIOS_vs_20240812T104500_LD.csv,Hyp,TRIOS,15.143232999999999,36.57005,15.143431,36.570156000000004,0.02,2024-08-12T08:45:00Z,2024-08-12T08:45:36Z,1,321,0.71,38.2499,33.7,-55.2,55.2
LD,HYPERNETS_vs_TRIOS_vs_20240812T104500_LD.csv,TRIOS,Hyp,15.143431,36.570156000000004,15.143232999999999,36.57005,0.02,2024-08-12T08:45:36Z,2024-08-12T08:45:00Z,1,321,1.37,38.2499,51.5,55.2,55.2
LD,HYPERNETS_vs_TRIOS_vs_20240812T110000_LD.csv,Hyp,TRIOS,15.135167,36.568267,15.143431,36.570156000000004,0.77,2024-08-12T09:00:00Z,2024-08-12T08:45:36Z,14,321,0.45,106.9825,58.5,-148.2,148.2
LD,HYPERNETS_vs_TRIOS_vs_20240812T110000_LD.csv,TRIOS,Hyp,15.143431,36.570156000000004,15.135167,36.568267,0.77,2024-08-12T08:45:36Z,2024-08-12T09:00:00Z,14,321,2.15,106.9825,142.1,148.2,148.2
LD,HYPERNETS_vs_TRIOS_vs_20240812T111500_LD.csv,Hyp,TRIOS,15.129567,36.56835000000001,15.126526,36.571358000000004,0.43,2024-08-12T09:15:00Z,2024-08-12T09:26:13Z,11,321,0.37,122.5147,67.2,-219,219
LD,HYPERNETS_vs_TRIOS_vs_20240812T111500_LD.csv,TRIOS,Hyp,15.126526,36.571358000000004,15.129567,36.56835000000001,0.43,2024-08-12T09:26:13Z,2024-08-12T09:15:00Z,11,321,2.56,122.5147,207.8,219,219
LD,HYPERNETS_vs_TRIOS_vs_20240812T113400_LD.csv,Hyp,TRIOS,15.132283,36.58408299999999,15.130457,36.580312000000006,0.45,2024-08-12T09:34:00Z,2024-08-12T09:31:36Z,2,321,0.96,2.8612,3,-2.1,2.6
LD,HYPERNETS_vs_TRIOS_vs_20240812T113400_LD.csv,TRIOS,Hyp,15.130457,36.580312000000006,15.132283,36.58408299999999,0.45,2024-08-12T09:31:36Z,2024-08-12T09:34:00Z,2,321,1.03,2.8612,3,2.1,2.6
LD,HYPERNETS_vs_TRIOS_vs_20240812T113700_LD.csv,Hyp,TRIOS,15.134182999999998,36.588333000000006,15.134279999999999,36.588713000000006,0.04,2024-08-12T09:37:00Z,2024-08-12T09:36:35Z,0,321,0.94,3.8406,4.9,-4.7,4.9
LD,HYPERNETS_vs_TRIOS_vs_20240812T113700_LD.csv,TRIOS,Hyp,15.134279999999999,36.588713000000006,15.134182999999998,36.588333000000006,0.04,2024-08-12T09:36:35Z,2024-08-12T09:37:00Z,0,321,1.05,3.8406,5.1,4.7,4.9
LD,HYPERNETS_vs_TRIOS_vs_20240812T114500_LD.csv,Hyp,TRIOS,15.140082999999999,36.601033,15.142036000000001,36.605829,0.56,2024-08-12T09:45:00Z,2024-08-12T09:47:01Z,2,321,0.93,5.4557,7.7,-8.5,8.6
LD,HYPERNETS_vs_TRIOS_vs_20240812T114500_LD.csv,TRIOS,Hyp,15.142036000000001,36.605829,15.140082999999999,36.601033,0.56,2024-08-12T09:47:01Z,2024-08-12T09:45:00Z,2,321,1.06,5.4557,8.3,8.5,8.6
LD,HYPERNETS_vs_TRIOS_vs_20240812T120000_LD.csv,Hyp,TRIOS,15.1553,36.62250000000001,15.156697000000001,36.624387,0.24,2024-08-12T10:00:00Z,2024-08-12T10:02:32Z,3,321,0.95,3.5272,4.4,-4.2,4.4
LD,HYPERNETS_vs_TRIOS_vs_20240812T120000_LD.csv,TRIOS,Hyp,15.156697000000001,36.624387,15.1553,36.62250000000001,0.24,2024-08-12T10:02:32Z,2024-08-12T10:00:00Z,3,321,1.05,3.5272,4.6,4.2,4.4
LD,HYPERNETS_vs_TRIOS_vs_20240812T121500_LD.csv,Hyp,TRIOS,15.161017,36.647433,15.160808,36.643068,0.49,2024-08-12T10:15:00Z,2024-08-12T10:13:32Z,1,321,0.93,4.7616,5.9,-5.9,6.3
LD,HYPERNETS_vs_TRIOS_vs_20240812T121500_LD.csv,TRIOS,Hyp,15.160808,36.643068,15.161017,36.647433,0.49,2024-08-12T10:13:32Z,2024-08-12T10:15:00Z,1,321,1.06,4.7616,6.2,5.9,6.3
LD,HYPERNETS_vs_TRIOS_vs_20240812T123000_LD.csv,Hyp,TRIOS,15.1637,36.6744,15.163055,36.6709,0.39,2024-08-12T10:30:00Z,2024-08-12T10:29:09Z,1,321,0.97,2.6078,2.6,-0.3,1.8
